"District","FIPS","Year","Incident Type","Measure Type","Variable","Value","R#","Region"
"Charter School for Young Children on Asylum Hill",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Charter School for Young Children on Asylum Hill",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Charter School for Young Children on Asylum Hill",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Charter School for Young Children on Asylum Hill",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Charter School for Young Children on Asylum Hill",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Charter School for Young Children on Asylum Hill",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Charter School for Young Children on Asylum Hill",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Charter School for Young Children on Asylum Hill",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Cheshire School District",900914160,"2012-2013","Bullying","Number","Total Incidents",12,5,"Western"
"Cheshire School District",900914160,"2013-2014","Bullying","Number","Students with at least 1 incident",24,5,"Western"
"Cheshire School District",900914160,"2013-2014","Bullying","Number","Total Incidents",30,5,"Western"
"Cheshire School District",900914160,"2012-2013","Bullying","Number","Students with at least 1 incident",12,5,"Western"
"Cheshire School District",900914160,"2014-2015","Bullying","Number","Total Incidents",21,5,"Western"
"Cheshire School District",900914160,"2015-2016","Bullying","Number","Students with at least 1 incident",15,5,"Western"
"Cheshire School District",900914160,"2015-2016","Bullying","Number","Total Incidents",19,5,"Western"
"Cheshire School District",900914160,"2014-2015","Bullying","Number","Students with at least 1 incident",20,5,"Western"
"Cheshire School District",900914160,"2016-2017","Bullying","Number","Total Incidents",16,5,"Western"
"Cheshire School District",900914160,"2016-2017","Bullying","Number","Students with at least 1 incident",14,5,"Western"
"Chester School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Chester School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Chester School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Chester School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Chester School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Chester School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Chester School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Chester School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Chester School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Chester School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Clinton School District",900715350,"2016-2017","Bullying","Number","Total Incidents",8,3,"Eastern"
"Clinton School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Clinton School District",900715350,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Clinton School District",900715350,"2012-2013","Bullying","Number","Students with at least 1 incident",6,3,"Eastern"
"Clinton School District",900715350,"2012-2013","Bullying","Number","Total Incidents",12,3,"Eastern"
"Clinton School District",900715350,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Clinton School District",900715350,"2013-2014","Bullying","Number","Total Incidents",6,3,"Eastern"
"Clinton School District",900715350,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Clinton School District",900715350,"2014-2015","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Clinton School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Colchester School District",901115910,"2016-2017","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Colchester School District",901115910,"2012-2013","Bullying","Number","Total Incidents",8,3,"Eastern"
"Colchester School District",901115910,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Colchester School District",901115910,"2013-2014","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Colchester School District",901115910,"2012-2013","Bullying","Number","Students with at least 1 incident",8,3,"Eastern"
"Colchester School District",901115910,"2014-2015","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Colchester School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Colchester School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Colchester School District",901115910,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Colchester School District",901115910,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Colebrook School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,5,"Western"
"Colebrook School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Colebrook School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,5,"Western"
"Colebrook School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Colebrook School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,5,"Western"
"Colebrook School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Colebrook School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,5,"Western"
"Colebrook School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Colebrook School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,5,"Western"
"Colebrook School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Columbia School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Columbia School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Columbia School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Columbia School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Columbia School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Columbia School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Columbia School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Columbia School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Columbia School District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Columbia School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Common Ground High School District",NA,"2016-2017","Bullying","Number","Total Incidents",15,2,"South Central"
"Common Ground High School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,2,"South Central"
"Common Ground High School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",12,2,"South Central"
"Common Ground High School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"Common Ground High School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,2,"South Central"
"Common Ground High School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"Common Ground High School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999,2,"South Central"
"Common Ground High School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"Common Ground High School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,2,"South Central"
"Common Ground High School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"Connecticut",9,"2014-2015","Bullying","Number","Students with at least 1 incident",733,NA,NA
"Connecticut",9,"2014-2015","Bullying","Number","Total Incidents",857,NA,NA
"Connecticut",9,"2015-2016","Bullying","Number","Students with at least 1 incident",715,NA,NA
"Connecticut",9,"2015-2016","Bullying","Number","Total Incidents",834,NA,NA
"Connecticut",9,"2016-2017","Bullying","Number","Students with at least 1 incident",706,NA,NA
"Connecticut",9,"2016-2017","Bullying","Number","Total Incidents",825,NA,NA
"Connecticut",9,"2013-2014","Bullying","Number","Students with at least 1 incident",1091,NA,NA
"Connecticut",9,"2013-2014","Bullying","Number","Total Incidents",1296,NA,NA
"Connecticut",9,"2012-2013","Bullying","Number","Students with at least 1 incident",1258,NA,NA
"Connecticut",9,"2012-2013","Bullying","Number","Total Incidents",1453,NA,NA
"Connecticut Technical High School System",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",83,NA,NA
"Connecticut Technical High School System",NA,"2012-2013","Bullying","Number","Total Incidents",90,NA,NA
"Connecticut Technical High School System",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",37,NA,NA
"Connecticut Technical High School System",NA,"2013-2014","Bullying","Number","Total Incidents",43,NA,NA
"Connecticut Technical High School System",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",17,NA,NA
"Connecticut Technical High School System",NA,"2014-2015","Bullying","Number","Total Incidents",21,NA,NA
"Connecticut Technical High School System",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",19,NA,NA
"Connecticut Technical High School System",NA,"2015-2016","Bullying","Number","Total Incidents",21,NA,NA
"Connecticut Technical High School System",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",31,NA,NA
"Connecticut Technical High School System",NA,"2016-2017","Bullying","Number","Total Incidents",35,NA,NA
"Cooperative Educational Services",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,1,"Southwest"
"Cooperative Educational Services",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,1,"Southwest"
"Cooperative Educational Services",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,1,"Southwest"
"Cooperative Educational Services",NA,"2013-2014","Bullying","Number","Total Incidents",-9999,1,"Southwest"
"Cooperative Educational Services",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Cooperative Educational Services",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Cooperative Educational Services",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,1,"Southwest"
"Cooperative Educational Services",NA,"2015-2016","Bullying","Number","Total Incidents",-9999,1,"Southwest"
"Cooperative Educational Services",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,1,"Southwest"
"Cooperative Educational Services",NA,"2016-2017","Bullying","Number","Total Incidents",-9999,1,"Southwest"
"Cornwall School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Cornwall School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,5,"Western"
"Cornwall School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Cornwall School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999,5,"Western"
"Cornwall School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Cornwall School District",NA,"2014-2015","Bullying","Number","Total Incidents",-9999,5,"Western"
"Cornwall School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
