"District","FIPS","Year","Incident Type","Measure Type","Variable","Value"
"Scotland School District",NA,"2013-2014","Bullying","Number","Total Incidents",9
"Scotland School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Scotland School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Scotland School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Scotland School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Scotland School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Scotland School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Seymour School District",900967610,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Seymour School District",900967610,"2012-2013","Bullying","Number","Total Incidents",-9999
"Seymour School District",900967610,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Seymour School District",900967610,"2013-2014","Bullying","Number","Total Incidents",-9999
"Seymour School District",900967610,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Seymour School District",900967610,"2014-2015","Bullying","Number","Total Incidents",-9999
"Seymour School District",900967610,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Seymour School District",900967610,"2015-2016","Bullying","Number","Total Incidents",-9999
"Seymour School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Seymour School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Sharon School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Sharon School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Sharon School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Sharon School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Sharon School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Sharon School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Sharon School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Sharon School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Sharon School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Sharon School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Shelton School District",900168170,"2012-2013","Bullying","Number","Students with at least 1 incident",10
"Shelton School District",900168170,"2012-2013","Bullying","Number","Total Incidents",13
"Shelton School District",900168170,"2013-2014","Bullying","Number","Students with at least 1 incident",23
"Shelton School District",900168170,"2013-2014","Bullying","Number","Total Incidents",26
"Shelton School District",900168170,"2014-2015","Bullying","Number","Students with at least 1 incident",21
"Shelton School District",900168170,"2014-2015","Bullying","Number","Total Incidents",41
"Shelton School District",900168170,"2015-2016","Bullying","Number","Students with at least 1 incident",28
"Shelton School District",900168170,"2015-2016","Bullying","Number","Total Incidents",28
"Shelton School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Shelton School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Sherman School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Sherman School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Sherman School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Sherman School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Sherman School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Sherman School District",NA,"2014-2015","Bullying","Number","Total Incidents",-9999
"Sherman School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Sherman School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Sherman School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Sherman School District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999
"Side By Side Charter School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Side By Side Charter School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Side By Side Charter School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Side By Side Charter School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Side By Side Charter School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Side By Side Charter School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Side By Side Charter School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Side By Side Charter School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Side By Side Charter School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Side By Side Charter School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Simsbury School District",900368940,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Simsbury School District",900368940,"2012-2013","Bullying","Number","Total Incidents",-9999
"Simsbury School District",900368940,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Simsbury School District",900368940,"2013-2014","Bullying","Number","Total Incidents",-9999
"Simsbury School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Simsbury School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Simsbury School District",900368940,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Simsbury School District",900368940,"2015-2016","Bullying","Number","Total Incidents",-9999
"Simsbury School District",900368940,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Simsbury School District",900368940,"2016-2017","Bullying","Number","Total Incidents",-9999
"Somers School District",901369220,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Somers School District",901369220,"2012-2013","Bullying","Number","Total Incidents",-9999
"Somers School District",901369220,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Somers School District",901369220,"2013-2014","Bullying","Number","Total Incidents",-9999
"Somers School District",901369220,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Somers School District",901369220,"2014-2015","Bullying","Number","Total Incidents",-9999
"Somers School District",901369220,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Somers School District",901369220,"2015-2016","Bullying","Number","Total Incidents",-9999
"Somers School District",901369220,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Somers School District",901369220,"2016-2017","Bullying","Number","Total Incidents",-9999
"Southington School District",900370550,"2012-2013","Bullying","Number","Students with at least 1 incident",7
"Southington School District",900370550,"2012-2013","Bullying","Number","Total Incidents",9
"Southington School District",900370550,"2013-2014","Bullying","Number","Students with at least 1 incident",19
"Southington School District",900370550,"2013-2014","Bullying","Number","Total Incidents",20
"Southington School District",900370550,"2014-2015","Bullying","Number","Students with at least 1 incident",32
"Southington School District",900370550,"2014-2015","Bullying","Number","Total Incidents",36
"Southington School District",900370550,"2015-2016","Bullying","Number","Students with at least 1 incident",13
"Southington School District",900370550,"2015-2016","Bullying","Number","Total Incidents",13
"Southington School District",900370550,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Southington School District",900370550,"2016-2017","Bullying","Number","Total Incidents",-9999
"South Windsor School District",900371390,"2012-2013","Bullying","Number","Students with at least 1 incident",11
"South Windsor School District",900371390,"2012-2013","Bullying","Number","Total Incidents",12
"South Windsor School District",900371390,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"South Windsor School District",900371390,"2013-2014","Bullying","Number","Total Incidents",-9999
"South Windsor School District",900371390,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"South Windsor School District",900371390,"2014-2015","Bullying","Number","Total Incidents",-9999
"South Windsor School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"South Windsor School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"South Windsor School District",900371390,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"South Windsor School District",900371390,"2016-2017","Bullying","Number","Total Incidents",-9999
"Sprague School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Sprague School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Sprague School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Sprague School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Sprague School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Sprague School District",NA,"2014-2015","Bullying","Number","Total Incidents",-9999
"Sprague School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Sprague School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Sprague School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Sprague School District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999
"Stafford School District",901372090,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Stafford School District",901372090,"2012-2013","Bullying","Number","Total Incidents",-9999
"Stafford School District",901372090,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Stafford School District",901372090,"2013-2014","Bullying","Number","Total Incidents",-9999
"Stafford School District",901372090,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Stafford School District",901372090,"2014-2015","Bullying","Number","Total Incidents",-9999
"Stafford School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Stafford School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Stafford School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Stafford School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Stamford Academy District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Stamford Academy District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Stamford Academy District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Stamford Academy District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Stamford Academy District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Stamford Academy District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Stamford Academy District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Stamford Academy District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Stamford Academy District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Stamford Academy District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Stamford Charter School for Excellence District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Stamford Charter School for Excellence District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Stamford Charter School for Excellence District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Stamford Charter School for Excellence District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Stamford Charter School for Excellence District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Stamford Charter School for Excellence District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Stamford Charter School for Excellence District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Stamford Charter School for Excellence District",NA,"2015-2016","Bullying","Number","Total Incidents",-9999
"Stamford Charter School for Excellence District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Stamford Charter School for Excellence District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999
"Stamford School District",900173070,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Stamford School District",900173070,"2012-2013","Bullying","Number","Total Incidents",13
"Stamford School District",900173070,"2013-2014","Bullying","Number","Students with at least 1 incident",8
"Stamford School District",900173070,"2013-2014","Bullying","Number","Total Incidents",9
"Stamford School District",900173070,"2014-2015","Bullying","Number","Students with at least 1 incident",9
"Stamford School District",900173070,"2014-2015","Bullying","Number","Total Incidents",12
"Stamford School District",900173070,"2015-2016","Bullying","Number","Students with at least 1 incident",14
"Stamford School District",900173070,"2015-2016","Bullying","Number","Total Incidents",14
"Stamford School District",900173070,"2016-2017","Bullying","Number","Students with at least 1 incident",9
"Stamford School District",900173070,"2016-2017","Bullying","Number","Total Incidents",12
"Sterling School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Sterling School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Sterling School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Sterling School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"Sterling School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Sterling School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Sterling School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Sterling School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Sterling School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Sterling School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Stonington School District",901173770,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Stonington School District",901173770,"2012-2013","Bullying","Number","Total Incidents",-9999
"Stonington School District",901173770,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Stonington School District",901173770,"2013-2014","Bullying","Number","Total Incidents",6
"Stonington School District",901173770,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Stonington School District",901173770,"2014-2015","Bullying","Number","Total Incidents",-9999
"Stonington School District",901173770,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Stonington School District",901173770,"2015-2016","Bullying","Number","Total Incidents",-9999
"Stonington School District",901173770,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Stonington School District",901173770,"2016-2017","Bullying","Number","Total Incidents",-9999
"Stratford School District",900174190,"2012-2013","Bullying","Number","Students with at least 1 incident",21
"Stratford School District",900174190,"2012-2013","Bullying","Number","Total Incidents",24
"Stratford School District",900174190,"2013-2014","Bullying","Number","Students with at least 1 incident",16
"Stratford School District",900174190,"2013-2014","Bullying","Number","Total Incidents",21
"Stratford School District",900174190,"2014-2015","Bullying","Number","Students with at least 1 incident",13
"Stratford School District",900174190,"2014-2015","Bullying","Number","Total Incidents",13
"Stratford School District",900174190,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Stratford School District",900174190,"2015-2016","Bullying","Number","Total Incidents",-9999
"Stratford School District",900174190,"2016-2017","Bullying","Number","Students with at least 1 incident",10
"Stratford School District",900174190,"2016-2017","Bullying","Number","Total Incidents",14
"Suffield School District",900374540,"2012-2013","Bullying","Number","Students with at least 1 incident",6
"Suffield School District",900374540,"2012-2013","Bullying","Number","Total Incidents",6
"Suffield School District",900374540,"2013-2014","Bullying","Number","Students with at least 1 incident",12
"Suffield School District",900374540,"2013-2014","Bullying","Number","Total Incidents",16
"Suffield School District",900374540,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Suffield School District",900374540,"2014-2015","Bullying","Number","Total Incidents",-9999
"Suffield School District",900374540,"2015-2016","Bullying","Number","Students with at least 1 incident",9
"Suffield School District",900374540,"2015-2016","Bullying","Number","Total Incidents",14
"Suffield School District",900374540,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Suffield School District",900374540,"2016-2017","Bullying","Number","Total Incidents",-9999
"The Bridge Academy District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"The Bridge Academy District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"The Bridge Academy District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",17
"The Bridge Academy District",NA,"2013-2014","Bullying","Number","Total Incidents",34
"The Bridge Academy District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",8
"The Bridge Academy District",NA,"2014-2015","Bullying","Number","Total Incidents",14
"The Bridge Academy District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"The Bridge Academy District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"The Bridge Academy District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",9
"The Bridge Academy District",NA,"2016-2017","Bullying","Number","Total Incidents",10
"The Gilbert School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",28
"The Gilbert School District",NA,"2012-2013","Bullying","Number","Total Incidents",35
"The Gilbert School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",8
"The Gilbert School District",NA,"2013-2014","Bullying","Number","Total Incidents",8
"The Gilbert School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"The Gilbert School District",NA,"2014-2015","Bullying","Number","Total Incidents",-9999
"The Gilbert School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"The Gilbert School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"The Gilbert School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"The Gilbert School District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999
"Thomaston School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Thomaston School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Thomaston School District",900575730,"2013-2014","Bullying","Number","Students with at least 1 incident",11
"Thomaston School District",900575730,"2013-2014","Bullying","Number","Total Incidents",17
"Thomaston School District",900575730,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Thomaston School District",900575730,"2014-2015","Bullying","Number","Total Incidents",-9999
"Thomaston School District",900575730,"2015-2016","Bullying","Number","Students with at least 1 incident",18
"Thomaston School District",900575730,"2015-2016","Bullying","Number","Total Incidents",21
"Thomaston School District",900575730,"2016-2017","Bullying","Number","Students with at least 1 incident",16
"Thomaston School District",900575730,"2016-2017","Bullying","Number","Total Incidents",19
"Thompson School District",901575870,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Thompson School District",901575870,"2012-2013","Bullying","Number","Total Incidents",-9999
"Thompson School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Thompson School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Thompson School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Thompson School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Thompson School District",901575870,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Thompson School District",901575870,"2015-2016","Bullying","Number","Total Incidents",-9999
"Thompson School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Thompson School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Tolland School District",901376290,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Tolland School District",901376290,"2012-2013","Bullying","Number","Total Incidents",-9999
"Tolland School District",901376290,"2013-2014","Bullying","Number","Students with at least 1 incident",9
"Tolland School District",901376290,"2013-2014","Bullying","Number","Total Incidents",9
"Tolland School District",901376290,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Tolland School District",901376290,"2014-2015","Bullying","Number","Total Incidents",-9999
"Tolland School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Tolland School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Tolland School District",901376290,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Tolland School District",901376290,"2016-2017","Bullying","Number","Total Incidents",-9999
"Torrington School District",900576570,"2012-2013","Bullying","Number","Students with at least 1 incident",10
"Torrington School District",900576570,"2012-2013","Bullying","Number","Total Incidents",13
"Torrington School District",900576570,"2013-2014","Bullying","Number","Students with at least 1 incident",6
"Torrington School District",900576570,"2013-2014","Bullying","Number","Total Incidents",6
"Torrington School District",900576570,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Torrington School District",900576570,"2014-2015","Bullying","Number","Total Incidents",-9999
"Torrington School District",900576570,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Torrington School District",900576570,"2015-2016","Bullying","Number","Total Incidents",-9999
"Torrington School District",900576570,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Torrington School District",900576570,"2016-2017","Bullying","Number","Total Incidents",-9999
"Trailblazers Academy District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Trailblazers Academy District",NA,"2012-2013","Bullying","Number","Total Incidents",7
"Trailblazers Academy District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Trailblazers Academy District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"Trailblazers Academy District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Trailblazers Academy District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Trailblazers Academy District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Trailblazers Academy District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Trailblazers Academy District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Trailblazers Academy District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Trumbull School District",900177200,"2012-2013","Bullying","Number","Students with at least 1 incident",7
"Trumbull School District",900177200,"2012-2013","Bullying","Number","Total Incidents",7
"Trumbull School District",900177200,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Trumbull School District",900177200,"2013-2014","Bullying","Number","Total Incidents",-9999
"Trumbull School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Trumbull School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Trumbull School District",900177200,"2015-2016","Bullying","Number","Students with at least 1 incident",8
"Trumbull School District",900177200,"2015-2016","Bullying","Number","Total Incidents",10
"Trumbull School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Trumbull School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Unified School District #1",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Unified School District #1",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Unified School District #1",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Unified School District #1",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Unified School District #1",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Unified School District #1",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Unified School District #1",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Unified School District #1",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Unified School District #1",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Unified School District #1",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Unified School District #2",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Unified School District #2",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Unified School District #2",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Unified School District #2",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Unified School District #2",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Unified School District #2",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Unified School District #2",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Unified School District #2",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Unified School District #2",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Unified School District #2",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Union School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Union School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Union School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Union School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Union School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Union School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Union School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Union School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Union School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Union School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Vernon School District",901378250,"2012-2013","Bullying","Number","Students with at least 1 incident",12
"Vernon School District",901378250,"2012-2013","Bullying","Number","Total Incidents",15
"Vernon School District",901378250,"2013-2014","Bullying","Number","Students with at least 1 incident",7
"Vernon School District",901378250,"2013-2014","Bullying","Number","Total Incidents",8
"Vernon School District",901378250,"2014-2015","Bullying","Number","Students with at least 1 incident",7
"Vernon School District",901378250,"2014-2015","Bullying","Number","Total Incidents",9
"Vernon School District",901378250,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Vernon School District",901378250,"2015-2016","Bullying","Number","Total Incidents",-9999
"Vernon School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Vernon School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Voluntown School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Voluntown School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Voluntown School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Voluntown School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Voluntown School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Voluntown School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Voluntown School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Voluntown School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Voluntown School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Voluntown School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Wallingford School District",900978740,"2012-2013","Bullying","Number","Students with at least 1 incident",23
"Wallingford School District",900978740,"2012-2013","Bullying","Number","Total Incidents",26
"Wallingford School District",900978740,"2013-2014","Bullying","Number","Students with at least 1 incident",10
"Wallingford School District",900978740,"2013-2014","Bullying","Number","Total Incidents",10
"Wallingford School District",900978740,"2014-2015","Bullying","Number","Students with at least 1 incident",9
"Wallingford School District",900978740,"2014-2015","Bullying","Number","Total Incidents",10
"Wallingford School District",900978740,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Wallingford School District",900978740,"2015-2016","Bullying","Number","Total Incidents",-9999
"Wallingford School District",900978740,"2016-2017","Bullying","Number","Students with at least 1 incident",12
"Wallingford School District",900978740,"2016-2017","Bullying","Number","Total Incidents",13
"Waterbury School District",900980070,"2012-2013","Bullying","Number","Students with at least 1 incident",34
"Waterbury School District",900980070,"2012-2013","Bullying","Number","Total Incidents",39
"Waterbury School District",900980070,"2013-2014","Bullying","Number","Students with at least 1 incident",33
"Waterbury School District",900980070,"2013-2014","Bullying","Number","Total Incidents",41
"Waterbury School District",900980070,"2014-2015","Bullying","Number","Students with at least 1 incident",6
"Waterbury School District",900980070,"2014-2015","Bullying","Number","Total Incidents",7
"Waterbury School District",900980070,"2015-2016","Bullying","Number","Students with at least 1 incident",7
"Waterbury School District",900980070,"2015-2016","Bullying","Number","Total Incidents",10
"Waterbury School District",900980070,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Waterbury School District",900980070,"2016-2017","Bullying","Number","Total Incidents",-9999
"Waterford School District",901180280,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Waterford School District",901180280,"2012-2013","Bullying","Number","Total Incidents",-9999
"Waterford School District",901180280,"2013-2014","Bullying","Number","Students with at least 1 incident",6
"Waterford School District",901180280,"2013-2014","Bullying","Number","Total Incidents",8
"Waterford School District",901180280,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Waterford School District",901180280,"2014-2015","Bullying","Number","Total Incidents",-9999
"Waterford School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Waterford School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Waterford School District",901180280,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Waterford School District",901180280,"2016-2017","Bullying","Number","Total Incidents",-9999
"Watertown School District",900580490,"2012-2013","Bullying","Number","Students with at least 1 incident",7
"Watertown School District",900580490,"2012-2013","Bullying","Number","Total Incidents",9
"Watertown School District",900580490,"2013-2014","Bullying","Number","Students with at least 1 incident",7
"Watertown School District",900580490,"2013-2014","Bullying","Number","Total Incidents",7
