"Town","FIPS","Year","Gender","Race/Ethnicity","Age Cohort","Measure Type","Variable","Value","Region"
"Ashford",901501430,"2012-2016","Male","All","Total","Number","Margins of Error",162,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","All","0 to 4 years","Number","Population",58,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","All","0 to 4 years","Number","Margins of Error",40,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","All","5 to 9 years","Number","Population",164,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","All","5 to 9 years","Number","Margins of Error",79,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","All","10 to 14 years","Number","Population",206,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","All","10 to 14 years","Number","Margins of Error",100,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","All","15 to 19 years","Number","Population",125,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","All","15 to 19 years","Number","Margins of Error",57,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","All","20 to 24 years","Number","Population",142,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","All","20 to 24 years","Number","Margins of Error",68,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","All","25 to 29 years","Number","Population",172,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","All","25 to 29 years","Number","Margins of Error",91,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","All","30 to 34 years","Number","Population",184,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","All","30 to 34 years","Number","Margins of Error",89,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","All","35 to 44 years","Number","Population",236,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","All","35 to 44 years","Number","Margins of Error",86,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","All","45 to 54 years","Number","Population",387,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","All","45 to 54 years","Number","Margins of Error",90,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","All","55 to 64 years","Number","Population",393,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","All","55 to 64 years","Number","Margins of Error",96,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","All","65 to 74 years","Number","Population",139,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","All","65 to 74 years","Number","Margins of Error",55,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","All","75 to 84 years","Number","Population",79,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","All","75 to 84 years","Number","Margins of Error",43,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","All","85 years and over","Number","Population",0,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","All","85 years and over","Number","Margins of Error",12,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","All","Total","Number","Population",4270,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","All","Total","Number","Margins of Error",25,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","All","0 to 4 years","Number","Population",156,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","All","0 to 4 years","Number","Margins of Error",71,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","All","5 to 9 years","Number","Population",294,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","All","5 to 9 years","Number","Margins of Error",112,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","All","10 to 14 years","Number","Population",285,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","All","10 to 14 years","Number","Margins of Error",109,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","All","15 to 19 years","Number","Population",185,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","All","15 to 19 years","Number","Margins of Error",70,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","All","20 to 24 years","Number","Population",205,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","All","20 to 24 years","Number","Margins of Error",77,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","All","25 to 29 years","Number","Population",298,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","All","25 to 29 years","Number","Margins of Error",106,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","All","30 to 34 years","Number","Population",312,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","All","30 to 34 years","Number","Margins of Error",110,"Eastern Region"
